element_type,osmid,geometry
node,60215284,POINT (16.4067471 48.1944138)
node,62687115,POINT (16.4174702 48.1851441)
node,62687123,POINT (16.4120644 48.1804386)
node,67029576,POINT (16.4520703 48.277582)
node,69468988,POINT (16.3922544 48.2020851)
node,69484904,POINT (16.4147963 48.1747186)
node,115184107,POINT (16.3998831 48.1975587)
node,117527786,POINT (16.4205345 48.1697819)
node,140069854,POINT (16.3852982 48.2058807)
node,1352828685,POINT (16.3281212 48.1836304)
node,2018072719,POINT (16.3823555 48.1536948)
node,2018072720,POINT (16.383225 48.1622926)
node,2018072721,POINT (16.3856058 48.1457661)
node,2018072722,POINT (16.3998868 48.1423146)
node,2018072723,POINT (16.3802682 48.1690181)
node,3071028227,POINT (16.3314815 48.1739672)
node,3124681405,POINT (16.3737346 48.1862627)
node,3324474915,POINT (16.3854154 48.2417359)
node,3488454904,POINT (16.3659272 48.2486697)
node,3488513522,POINT (16.358076 48.2355915)
node,3488513525,POINT (16.3585057 48.2350109)
node,3500528328,POINT (16.3715166 48.2080838)
node,3500582336,POINT (16.3704158 48.1936873)
node,3503264091,POINT (16.3697014 48.2003841)
node,3535818951,POINT (16.2609148 48.1969493)
node,3598290667,POINT (16.5044888 48.2345026)
node,3598290671,POINT (16.485618 48.2334122)
node,3598308198,POINT (16.5083947 48.2262278)
node,3598326412,POINT (16.4785435 48.2284034)
node,3836036157,POINT (16.3459671 48.1695784)
node,3836036196,POINT (16.3581288 48.1732452)
node,3836036225,POINT (16.3583808 48.1803174)
node,3836036304,POINT (16.3561219 48.2155824)
node,3836036325,POINT (16.3313876 48.2181142)
node,3836036387,POINT (16.3430363 48.2214665)
node,3836036397,POINT (16.3538846 48.2215964)
node,3862884256,POINT (16.4049308 48.2177786)
node,3862884757,POINT (16.3930785 48.2197676)
node,3862884758,POINT (16.3941852 48.2184638)
node,3993274357,POINT (16.29582 48.1894027)
node,3993274358,POINT (16.3045807 48.1875762)
node,3993274359,POINT (16.3350467 48.1849187)
node,3993274360,POINT (16.2761736 48.192234)
node,3993274361,POINT (16.3190474 48.1860172)
node,3993274362,POINT (16.2863684 48.1910668)
node,3993298632,POINT (16.3798184 48.202946)
node,3993342689,POINT (16.358092 48.1966328)
node,3993342690,POINT (16.3430303 48.1884883)
node,3993342691,POINT (16.3543028 48.1921577)
node,4003901212,POINT (16.364119 48.22771)
node,4003901213,POINT (16.3675722 48.2223375)
node,4003949409,POINT (16.3847802 48.2067908)
node,4003977155,POINT (16.3723981 48.2173875)
node,4003977156,POINT (16.3785895 48.2117248)
node,4005731390,POINT (16.3098385 48.130521)
node,4005736525,POINT (16.4004908 48.2562384)
node,4008355779,POINT (16.3168475 48.1505196)
node,4008355780,POINT (16.3242066 48.1606776)
node,4008355781,POINT (16.3165351 48.1419866)
node,4008355782,POINT (16.3132527 48.1366232)
node,4008355785,POINT (16.3277927 48.1649777)
node,4012141489,POINT (16.331145 48.1807684)
node,4048187887,POINT (16.3545222 48.186692)
node,4073027290,POINT (16.4204937 48.2104985)
node,4073135889,POINT (16.431461 48.2063838)
node,4073146389,POINT (16.4137446 48.2146912)
node,4076415290,POINT (16.4749346 48.2225976)
node,4076631293,POINT (16.4666399 48.2194301)
node,4076716391,POINT (16.4578116 48.2208849)
node,4077783491,POINT (16.449558 48.2197733)
node,4078094389,POINT (16.440166 48.2117999)
node,4086541541,POINT (16.3815518 48.2192624)
node,4104690590,POINT (16.3554084 48.2102064)
node,4113713892,POINT (16.3578591 48.205275)
node,4123615290,POINT (16.3612866 48.2026346)
node,4140677491,POINT (16.4478821 48.2710952)
node,4155298891,POINT (16.4516287 48.2634265)
node,4155452193,POINT (16.4496328 48.2576086)
node,4155868489,POINT (16.4432539 48.2502254)
node,4160807391,POINT (16.4329191 48.2430028)
node,4161088301,POINT (16.4247729 48.2382709)
node,4161756600,POINT (16.3379226 48.1958783)
node,4161769952,POINT (16.3286297 48.1976875)
node,4161774320,POINT (16.3201287 48.1976282)
node,4161779363,POINT (16.3110744 48.2000837)
node,4161779364,POINT (16.3091223 48.2045707)
node,4167184427,POINT (16.3761188 48.1793553)
node,4167184437,POINT (16.377918 48.174919)
node,4169259989,POINT (16.4164115 48.232829)
node,4169472889,POINT (16.4113918 48.2292159)
node,4169757308,POINT (16.4010572 48.2236328)
node,4174037289,POINT (16.3855453 48.2153104)
node,4228503593,POINT (16.3113574 48.2110317)
node,4281875074,POINT (16.3375442 48.1907374)
node,4281897753,POINT (16.3391963 48.1968048)
node,4281904637,POINT (16.3371994 48.2033124)
node,4281927209,POINT (16.3947025 48.2462997)
node,4281932864,POINT (16.3687097 48.235224)
node,4281939061,POINT (16.3802291 48.2373082)
node,4283722989,POINT (16.3418121 48.2167675)
node,4283722990,POINT (16.3391653 48.2114659)
node,4283722991,POINT (16.3441586 48.2211652)
node,4283722992,POINT (16.3524653 48.2313384)
node,4283722993,POINT (16.3380073 48.2078001)
node,4283722994,POINT (16.349517 48.2256269)
node,4347738147,POINT (16.3629278 48.2150481)
node,4348320098,POINT (16.4141569 48.1914136)
node,4348336039,POINT (16.3656353 48.209398)
node,4348336040,POINT (16.3792758 48.2069483)
node,4348437215,POINT (16.3526723 48.1993161)
node,4348437231,POINT (16.3462979 48.197145)
node,4560843526,POINT (16.3691588 48.2016073)
node,4560843527,POINT (16.3693116 48.2009786)
node,4560843528,POINT (16.3719681 48.2165452)
node,4560869523,POINT (16.3591523 48.2056573)
node,4560869524,POINT (16.3776525 48.2117909)
node,4560869722,POINT (16.3720045 48.208419)
node,9174951410,POINT (16.3176704 48.2228108)
